epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
127,14458.8,1.01867,0.83918,1.28459,0.85414,0.72965,0.78805,0.48726,1.42146,0.94535,1.73846,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
128,14579,1.01595,0.83575,1.28546,0.85208,0.73176,0.78926,0.48742,1.42152,0.94507,1.73956,0.0111405,0.0037135,0.0111405,0.0037135,0.0111405,0.0037135,0.0111405,0.0037135
129,14699.5,1.01797,0.83425,1.28512,0.85151,0.7339,0.78838,0.48756,1.42179,0.94495,1.74031,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
130,14822.9,1.0164,0.83071,1.28271,0.85312,0.73421,0.78964,0.48793,1.42207,0.94565,1.7412,0.0108435,0.0036145,0.0108435,0.0036145,0.0108435,0.0036145,0.0108435,0.0036145
131,14942.8,1.01631,0.8357,1.28084,0.85279,0.73364,0.78906,0.48774,1.42244,0.94647,1.74198,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
132,15065.6,1.0014,0.82012,1.27281,0.84155,0.73867,0.78902,0.4875,1.42242,0.94592,1.74235,0.0105465,0.0035155,0.0105465,0.0035155,0.0105465,0.0035155,0.0105465,0.0035155
133,15188.7,1.0092,0.82598,1.27766,0.84677,0.73704,0.78906,0.48713,1.42253,0.94601,1.74304,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
134,15307.9,0.99975,0.82167,1.27255,0.84422,0.73674,0.78935,0.48727,1.42308,0.94605,1.74388,0.0102495,0.0034165,0.0102495,0.0034165,0.0102495,0.0034165,0.0102495,0.0034165
135,15429.5,1.00658,0.82235,1.27644,0.84296,0.7382,0.78892,0.48697,1.42324,0.94645,1.74481,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
136,15549.7,0.99742,0.81556,1.27186,0.84109,0.73847,0.78909,0.48701,1.4234,0.94696,1.74527,0.0099525,0.0033175,0.0099525,0.0033175,0.0099525,0.0033175,0.0099525,0.0033175
137,15668.3,0.99288,0.80883,1.26681,0.84144,0.73899,0.78902,0.4865,1.42375,0.94764,1.74578,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
138,15790.5,0.99528,0.80824,1.26968,0.84089,0.73997,0.78919,0.48652,1.42384,0.94912,1.74632,0.0096555,0.0032185,0.0096555,0.0032185,0.0096555,0.0032185,0.0096555,0.0032185
139,15914.2,0.9908,0.80501,1.2685,0.841,0.73983,0.78916,0.48651,1.42209,0.95051,1.74489,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
140,16034,0.98342,0.8037,1.26776,0.84329,0.74004,0.78915,0.48598,1.42232,0.95042,1.74577,0.0093585,0.0031195,0.0093585,0.0031195,0.0093585,0.0031195,0.0093585,0.0031195
141,16159.5,0.98617,0.80051,1.26347,0.84191,0.74026,0.78907,0.48606,1.42236,0.95164,1.74634,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
142,16282.7,0.98074,0.80053,1.25907,0.84052,0.74018,0.78966,0.48585,1.42232,0.95014,1.74602,0.0090615,0.0030205,0.0090615,0.0030205,0.0090615,0.0030205,0.0090615,0.0030205
143,16402.3,0.97987,0.79672,1.26182,0.84019,0.7408,0.78952,0.48616,1.42228,0.95114,1.74632,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
144,16526.3,0.97506,0.79922,1.25665,0.83099,0.74645,0.7893,0.48592,1.42282,0.95141,1.74714,0.0087645,0.0029215,0.0087645,0.0029215,0.0087645,0.0029215,0.0087645,0.0029215
145,16647.2,0.97814,0.79214,1.26009,0.83829,0.74415,0.7898,0.48622,1.42366,0.952,1.74848,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
146,16767.3,0.97301,0.79012,1.25379,0.83238,0.74652,0.78999,0.48627,1.4241,0.95218,1.74925,0.0084675,0.0028225,0.0084675,0.0028225,0.0084675,0.0028225,0.0084675,0.0028225
147,16890.5,0.96494,0.77945,1.25211,0.84225,0.74097,0.78988,0.48627,1.42418,0.95268,1.74995,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
148,17013,0.97668,0.79328,1.25287,0.84379,0.73876,0.78947,0.48624,1.42565,0.95293,1.75159,0.0081705,0.0027235,0.0081705,0.0027235,0.0081705,0.0027235,0.0081705,0.0027235
149,17133.3,0.96817,0.77696,1.24809,0.84362,0.73889,0.78947,0.48599,1.42564,0.95225,1.75226,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
150,17255.7,0.96081,0.7744,1.24491,0.84329,0.73809,0.78975,0.48584,1.42624,0.95259,1.75326,0.0078735,0.0026245,0.0078735,0.0026245,0.0078735,0.0026245,0.0078735,0.0026245
151,17377.8,0.96446,0.77736,1.2442,0.84439,0.73794,0.78991,0.48604,1.42647,0.95263,1.75395,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
152,17497.9,0.95932,0.77307,1.24664,0.84495,0.73672,0.79,0.48638,1.42732,0.95319,1.75542,0.0075765,0.0025255,0.0075765,0.0025255,0.0075765,0.0025255,0.0075765,0.0025255
153,17618.2,0.9538,0.77116,1.24333,0.84613,0.7366,0.78976,0.48578,1.42756,0.95303,1.75619,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
154,17741.7,0.95592,0.76709,1.24212,0.84707,0.73638,0.79009,0.48599,1.42817,0.95294,1.75735,0.0072795,0.0024265,0.0072795,0.0024265,0.0072795,0.0024265,0.0072795,0.0024265
155,17861.9,0.96115,0.77089,1.24523,0.84773,0.73561,0.79019,0.48615,1.42894,0.95356,1.75869,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
156,17984.4,0.9381,0.74705,1.23412,0.84774,0.73522,0.7901,0.48659,1.42922,0.95309,1.75967,0.0069825,0.0023275,0.0069825,0.0023275,0.0069825,0.0023275,0.0069825,0.0023275
157,18106.2,0.94702,0.76332,1.2382,0.84755,0.73496,0.78945,0.48643,1.43007,0.95272,1.76118,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
158,18223.4,0.94588,0.75318,1.23717,0.84888,0.73522,0.79033,0.48749,1.43047,0.95383,1.76203,0.0066855,0.0022285,0.0066855,0.0022285,0.0066855,0.0022285,0.0066855,0.0022285
159,18345.4,0.93507,0.74813,1.22908,0.8502,0.73591,0.79052,0.48712,1.43142,0.95384,1.76357,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
160,18467.1,0.94124,0.7522,1.23513,0.85123,0.73446,0.79039,0.48707,1.43192,0.95526,1.76491,0.0063885,0.0021295,0.0063885,0.0021295,0.0063885,0.0021295,0.0063885,0.0021295
161,18589.5,0.93585,0.75609,1.23125,0.84956,0.73559,0.79114,0.48725,1.43235,0.95546,1.76594,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
162,18713,0.93533,0.74446,1.23099,0.84908,0.73581,0.79137,0.48691,1.43285,0.95649,1.76682,0.0060915,0.0020305,0.0060915,0.0020305,0.0060915,0.0020305,0.0060915,0.0020305
163,18833.8,0.92263,0.72487,1.22255,0.84764,0.73625,0.79138,0.48661,1.43386,0.95687,1.76874,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
164,18953,0.92447,0.73411,1.22185,0.84564,0.73808,0.79188,0.48656,1.43439,0.95784,1.7698,0.0057945,0.0019315,0.0057945,0.0019315,0.0057945,0.0019315,0.0057945,0.0019315
165,19074.1,0.92678,0.7438,1.22581,0.8407,0.74335,0.79234,0.48629,1.43476,0.95836,1.77019,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
166,19195.2,0.92124,0.73328,1.2211,0.84007,0.74268,0.79283,0.48671,1.43551,0.95886,1.77134,0.0054975,0.0018325,0.0054975,0.0018325,0.0054975,0.0018325,0.0054975,0.0018325
167,19313.6,0.91699,0.7334,1.22149,0.83929,0.7412,0.79205,0.48655,1.43609,0.95793,1.77235,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
168,19434.9,0.91235,0.73368,1.21795,0.83801,0.74175,0.79208,0.48665,1.43699,0.9578,1.77376,0.0052005,0.0017335,0.0052005,0.0017335,0.0052005,0.0017335,0.0052005,0.0017335
169,19560.3,0.91257,0.72053,1.21413,0.83794,0.74083,0.7919,0.48686,1.43718,0.9586,1.77448,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
170,19683.2,0.90914,0.7195,1.21542,0.83434,0.73943,0.79024,0.4861,1.43746,0.959,1.77566,0.0049035,0.0016345,0.0049035,0.0016345,0.0049035,0.0016345,0.0049035,0.0016345
171,19808.2,0.89995,0.71118,1.21034,0.83843,0.73933,0.79072,0.48632,1.43779,0.95932,1.77683,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
172,19929.8,0.90574,0.71477,1.21178,0.83905,0.73962,0.79118,0.48666,1.43803,0.95879,1.77742,0.0046065,0.0015355,0.0046065,0.0015355,0.0046065,0.0015355,0.0046065,0.0015355
173,20051.8,0.90024,0.71285,1.21141,0.83781,0.74042,0.79156,0.48641,1.4392,0.95936,1.77876,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
174,20277.5,0.89786,0.71556,1.20602,0.84108,0.74091,0.79134,0.4866,1.43961,0.95949,1.78,0.0043095,0.0014365,0.0043095,0.0014365,0.0043095,0.0014365,0.0043095,0.0014365
175,20462.7,0.89804,0.71029,1.20687,0.83909,0.74206,0.79155,0.48613,1.44072,0.95969,1.7818,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
176,20574.6,0.89561,0.70582,1.20578,0.84331,0.73931,0.79147,0.48573,1.4419,0.96039,1.78309,0.0040125,0.0013375,0.0040125,0.0013375,0.0040125,0.0013375,0.0040125,0.0013375
177,20689.8,0.88808,0.70225,1.20511,0.83896,0.74121,0.79139,0.4855,1.44228,0.96102,1.78406,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
178,20810.1,0.88959,0.70248,1.20351,0.8348,0.74239,0.79076,0.48553,1.44283,0.96087,1.78507,0.0037155,0.0012385,0.0037155,0.0012385,0.0037155,0.0012385,0.0037155,0.0012385
